text	Trump	Biden	West	HOF
tx bruce greyghost biker hahahahaha.. when a democrat doesn't get their way.. trump2020	Favor	Neither	Neither	Non-Hateful
fact or fiction.. votehimout voteblue2020 biden 	Against	Favor	Neither	Non-Hateful
merrilldavis reuters you want to see dangerous, wait until sleepy joe is put down the ho becomes president the drunk becomes vp. and in case you're wondering, that's kamala pelosi 	Neither	Against	Neither	Hateful
natureecho donaldjtrumpjr i already know what marxism is, and neither kamala harris, or especially joe biden, is a marxist.	Neither	Favor	Neither	Non-Hateful
realdonaldtrump you sound more like kim jong-u.n. with each passing day. bidenharris2020	Against	Favor	Neither	Non-Hateful
the secret service filed charges against a man from maryland after he threatened to kidnap and kill joe biden and kamala harris. james dale approached a house that had biden-harris lawn signs and left behind a note detailing graphic threats against supporters and biden-harris. 	Neither	Neutral mentions	Neither	Non-Hateful
realdonaldtrump wandavazquezg trump is the most insecure and immature human, america has ever witnessed. we all know this type of person. trump says terrible thing about others in an attempt to hurt them, this makes trump feel good about himself. i personally think he gets a high when he hurts others.	Against	Neither	Neither	Non-Hateful
hillaryclinton joebiden joe biden would be president for all of 3 months before kamala boots him	Neither	Mixed	Neither	Non-Hateful
trump2020 wish full recovery to see him ask forgiveness to the country for his incompetence and lack of respect for the american people during covid-19 crisis.victoryroad to bidenharris	Against	Favor	Neither	Non-Hateful
lindseygrahamsc realdonaldtrump i remember what you said in 2016 about merrick garland, so does everyone else with a brain!!! when did the entire gop derail become cowards november will be here soon!!! votebluetoendthisnightmare votebluetosaveamerica votebidenharris2020 gophypocrisy	Against	Favor	Neither	Non-Hateful
the fight is not dems vs repubs it's super rich vs everybody else congress rich vs rich with a conscience trumpisnotabillionaire trumptaxcheat antichrist trump taxfraudtrump fakebillionairetrump antichristtrump trump2020landslidevictory trump2020 	Against	Neither	Neither	Hateful
conmantrump first he puts american in harms way trumpkilledamericans then our troups and now our secretservice puting people americans in danger time to go don votehimout2020 bidenharris2020 	Against	Favor	Neither	Non-Hateful
mcrf94 joyvbehar nope-- just another republican lie 	Neither	Neither	Neither	Non-Hateful
saif10 jeapsx chasemx76 spectatorindex appreciate patriotic citizens such as yourself. vote maga2020	Favor	Neither	Neither	Non-Hateful
mviser i'm finding myself a little emotional listening to him today. wow.. biden2020	Neither	Favor	Neither	Non-Hateful
it's not that we get coronavirus from each other, it's that we get it from the people in the office, bonita williams, 58, is a cleaner at the state department tells emilystewartm 	Neither	Neither	Neither	Non-Hateful
did this just say ridiculous forrest fires dumptrump2020 bidenharris2020 	Against	Favor	Neither	Non-Hateful
the focus on trump's pb call to arms misses the threat of his next remarks. after he said stand by, he said something needs to be done about left wingers. he then called for his people to watch the polls very hard. vote bidenharris2020 	Against	Favor	Neither	Non-Hateful
joebiden absolutely joe! hopefully soon i'll be saying,mr.president i'm so proud of you, kamala, barack obama hilary!!!	Neither	Favor	Neither	Non-Hateful
kerry lied about not knowing of hunter biden's business in ukraine serfsup! justicetristan biden2020	Neither	Neutral mentions	Neither	Non-Hateful
weird that trump and republicans have tried to limit mail-in voting. 	Against	Neither	Neither	Non-Hateful
charlamagne tha god says he's voting for 'change agent' kamala harris, not joe biden 	Neither	Neutral mentions	Neither	Non-Hateful
tomilahren how like magatte to try to emasculate a real man for practicing care and compassion. bidenharris2020	Neither	Favor	Neither	Non-Hateful
saturdays are for the doors no cap leadright trump2020 wintheday 	Favor	Neither	Neither	Non-Hateful
realdonaldtrump i would rather donate to jeffrey dahmer's meat-smoker purchase than to donate to your criminal, treasonous campaign. trumpisbroke biden2020	Against	Favor	Neither	Non-Hateful
ballot arrived! can't wait to fill it out and drop it off! vote votehimout2020 votebidenharris2020 voteblue2020 votebluetosaveamerica votebluedownballot joebiden kamalaharris	Against	Favor	Neither	Non-Hateful
realdonaldtrump donaldjtrumpjr erictrump jaredkushner ivankatrump biden bidenharris2020 and what will you try next 	Neutral mentions	Favor	Neither	Non-Hateful
flywithkamala kamala was my first choice,but i agree at this moment in time. joe biden is the right choice. we are lucky that he is willing to continue to serve our country. when i voted for bidenharris i felt good, i felt hopeful, i know this is the right team to recover our countrydemoracy	Neither	Favor	Neither	Non-Hateful
i'm just gonna leave this right here.. and that's on periodt as the kids say these days. vote bidenharris2020 dumptrump united states america 	Against	Favor	Neither	Non-Hateful
imagine master lude (not me) telling j frankenheimer the end of the movie is that cia was sold out to ccp he jf would send lude back to drawing board. guess what. lude is right on. all thanks to biden. i heard such tales but needed verification well now we have it	Neither	Neutral mentions	Neither	Non-Hateful
anyone who wishes death on our president realdonaldtrump is a terrible person. also, he's winning again in november. trump2020 love you potus !	Favor	Neither	Neither	Non-Hateful
mdnij34 hell no. in fact i could donate to bidenharris2020	Neither	Neutral mentions	Neither	Non-Hateful
believe and act accordingly! we know what gop has shown us . votebidenharris2020 voteouteveryrepublican riprgb 	Against	Favor	Neither	Non-Hateful
did you ever think you would be so happy to see blue skies breath fresh air! 5 weeks of hazardous air is over! grateful. enjoy today and have empathy for those who are not as fortunate as we are. bidenharris2020 	Neither	Favor	Neither	Non-Hateful
mgcanmore kayleighmcenany no one cares what you think bruh! right there right at this moment is why no one likes you not even your own family, trump2020 	Favor	Neither	Neither	Non-Hateful
trump and pence seem to be competing with each other to see who can kill the most supporters before election day	Against	Neither	Neither	Non-Hateful
trumpisatraitor bidenharris2020tosaveamerica breaking trending bidenharris bidenharris2020 debates2020 kimberly blacklivesmatter laughing my fucking ass off beech house of cards is collapsing 	Against	Favor	Neither	Non-Hateful
our constitution does not require a concession. it requires that one of the candidates win at least 270 electoral college votes and that's exactly what joe biden and kamala harris have done. s. sanders.	Neither	Neutral mentions	Neither	Non-Hateful
wow, read this! rudy giuliani is my father. please, everyone, vote for joe biden and kamala harris. via vanityfair	Neither	Neutral mentions	Neither	Non-Hateful
ccp did it again, ripping off us movies for it's warmongering video. time to walk the walk and put money where the mouth is. talk is cheap china, a barking dog never bites. trump2020landslidevictory trump2020 fw to 3:15 minute 	Favor	Neither	Neither	Non-Hateful
only question is now, how long do they allow joe to be president before pushing her up. kamala harris: the most opportunistic politician in modern history. 	Neither	Mixed	Neither	Non-Hateful
this election will be the toughest test of the us political system in my life. he must be stopped. anybody who is neutral on this but would condemn china, russia, etc should really take a long look at themselves. this is unacceptable. politics election2020 maga2020 	Against	Neither	Neither	Non-Hateful
kamalaharris no you and creepy joe biden are the weak ones. trump2020	Favor	Against	Neither	Hateful
trump is at work for us. bye-then is taking a nap. maga2020	Favor	Against	Neither	Non-Hateful
joebiden reasons to vote trump: reasons to vote biden: he stands for everything good and has already changed a lot a lives and saved a bunch of lives, he is literally the nicest person ever and he would have the best influence on america, an influence that really needs we need joekamala	Against	Favor	Neither	Non-Hateful
district 9 list of people on the ballot. don't vote blindly: presidential vice presidential candidates: joe biden kamala harris donald trump mike pence howie hawkins angela walker jo jorgensen jeremy cohen brock pierce karla ballard	Neutral mentions	Neutral mentions	Neither	Non-Hateful
the realdonaldtrump coward's list i was going to tweet. it's all a trumpcovid lie to make himself look good avoid further debates. traitortrump trump2020 brunoswahine well done imdonemike 	Against	Neither	Neither	Hateful
president realdonaldtrump : we just want you to know that we have your back! we will continue to fight for your mission you are the only one who can saveamerica , but we will help you! i know all my fellow patriots will gotv for trump2020 ! let's do this thing! 	Favor	Neither	Neither	Non-Hateful
gopleader kevinmccarthy, do u ever tire of the lies and divisive rhetoric the american people are no longer fooled by trump enablers american people are desperate for honesty, integrity and leadership your nonstop finger-pointing is exhausting democracy biden2020	Neutral mentions	Favor	Neither	Non-Hateful
jemelehill 4lisaguerrero shaq my husband has been phone banking for the bidenharris campaign. he spoke to a 68 year old woman voting for the first time. there is too much at stake to sit this one out!	Neither	Neutral mentions	Neither	Non-Hateful
kamalaharris barackobama pitch in if you can but definitely voteearly biden2020 bidenharris2020tosaveamerica	Neither	Favor	Neither	Non-Hateful
why just own cnn when you can own them all! kag trump2020 maga 	Favor	Neither	Neither	Non-Hateful
found out stevescully is the moderator for the 2nd presidential debate. never heard of him, so i scrolled his tweets. he's just another liberal hack. once again, realdonaldtrump will be debating two losers. trump2020	Favor	Against	Neither	Non-Hateful
ex-husband says jill biden 'betrayed' him by cheating on him with joebiden biden camp denies it joebidenisnotwell joebidenissenile bidenriots democrats liberalhypocrisy joebidenhasdementia unfittobepresident unfitforoffice trump2020	Favor	Against	Neither	Hateful
trumpwarroom speaking truth. everyone should wake up. so sad to.see the thick wool over eyes of so many young people. i actually feel bad they didn't have a more honest upbringing when it came to us history and world history in school. educateyourself trump2020 	Favor	Neither	Neither	Non-Hateful
presssec do you derive some personal fulfillment as spokeswoman for an outta control despot intent on overseeing the ruin desecration of american democracy or is it that you are simply as much of a spineless sycophantic as your press briefings would suggest bidenharris2020	Neither	Favor	Neither	Non-Hateful
gofakeyourselfm kirstiealley horrible kamala will never be president !!!! neither will slow creepy joe !!!	Neither	Against	Neither	Hateful
thank you, minnesota!!! trump2020 	Favor	Neither	Neither	Non-Hateful
homeward bound by fleetwood mac bidenharris2020 wearadamnmask blacklivesmatter 	Neither	Neutral mentions	Neither	Non-Hateful
2 kamala harris staffers have covid-19. let's hope at least one of them has been recently sniffed by creepy joe.	Neither	Against	Neither	Hateful
jori d0523 realdonaldtrump joebiden a cut for the big guy hunter doing business with the spy chief of china if joe biden wins he could get arrested shortly after, if biden resigns from public office prior to electoral college meeting on dec 14 the party can choose the president, (not necessarily kamala)	Neutral mentions	Neutral mentions	Neither	Non-Hateful
to every citizen of this nation: when you vote for a president, you are not choosing a life-mate. you are choosing a transportation option that will get you as close as you can get to your final destination. and for that - the choice is crystal clear! bidenharris2020 	Neither	Favor	Neither	Non-Hateful
mikebloomberg joebiden kamalaharris thank you thank you thank you.. mike bloomberg thank you for not giving up our candidates and supporting where needed.. vp-e kamala harris thanks for being the powerful, upstanding lady you are.. pres-e joe biden thank you for caring enough to get back in the trenches with us.. 	Neither	Favor	Neither	Non-Hateful
i have added few crucial historical events to the graphics below (many others could be added). let's stop them now, before it is too late. voteblue2020 vote 	Neither	Favor	Neither	Non-Hateful
teampelosi yes. if we want the coronavirus covid19 covid to go away then you must voteblue2020 !! bidenharris2020tosaveamerica debatetuesday	Neither	Favor	Neither	Non-Hateful
great to welcome new followers to my page including: 1. fantastic silver jewellery brysiewiczjewe1 2. great antique photos premierajg 3. and a big trump2020 fan in bbtoots thanks all have a great day!	Neutral mentions	Neither	Neither	Non-Hateful
see how the reporter covers for him what the heck is this trump2020 	Favor	Neither	Neither	Non-Hateful
don't trust the polls. go out and vote, and vote early if you can. assume that all your friends and family who don't talk about politics are voting for trump, because they likely are. all my friends who hate talking politics voted for him last time around. vote early.	Neutral mentions	Neither	Neither	Non-Hateful
alextolbs hi alex, i am already volunteering. thanks for reaching out to me and let's do this together, big blue wave coming. bidenharris2020	Neither	Favor	Neither	Non-Hateful
dj trump and his trusted advisors 	Neutral mentions	Neither	Neither	Non-Hateful
ajplus do not elect trump!	Against	Neither	Neither	Non-Hateful
brentalfloss patthenespunk won't they just leave and the rest of us will be stuck paying those taxes it's already started. also i'm not a fan of how they're sneaking in kamala in the president's chair. anyway good luck president joe. you're gonna need it.	Neither	Mixed	Neither	Non-Hateful
kamalaharris voteblue2020 alert: give acb the same number of meetings with democratic senators that merrick garland received from republicans 	Neither	Favor	Neither	Non-Hateful
americanvor not here bidenharris2020	Neither	Favor	Neither	Non-Hateful
nikkistix55 what time does the fun begin nikki trump2020	Favor	Neither	Neither	Non-Hateful
thunderb won't stop him. trump2020	Favor	Neither	Neither	Non-Hateful
i'm so happy about our president joe biden and vp kamala harris!!! history was madeeeeee!!!! 	Neither	Favor	Neither	Non-Hateful
teamcollins207 no. no, and no! this is so disingenuous - even for you! (and i'm a cow) mepolitics timeforpasture selloutsuzy voteblue2020	Neither	Favor	Neither	Non-Hateful
realdonaldtrump loudobbs donny, proud boys and some more friends of yours 	Against	Neither	Neither	Non-Hateful
we should always mourn those with integrity! there are so few left in our world! we need to nourish those who have not sold their souls to trumps dark america voteblue biden2020 	Against	Favor	Neither	Non-Hateful
now the question is how long before joe biden steps down and kamala harris is president, the plan to rig the election was just the beginning.. stay tuned theirs more to come!	Neither	Against	Neither	Non-Hateful
fck him! vote for joe and kamala! 50 cent endorses trump for president after seeing biden's alleged tax plans. 	Neutral mentions	Favor	Neither	Hateful
end the left! now ! trump2020	Favor	Neither	Neither	Non-Hateful
the senate's duty to confirm supreme court justices is at the forefront of this election. shaheen will only confirm liberal activist judges. help defeat her so i can help realdonaldtrump confirm pro-constitution judges! maga2020 nhpolitics nhsen 	Favor	Neither	Neither	Non-Hateful
wonder if she understands how self righteous that made her sound. my 4 year old heard joe biden call the potus a clown and yelled your the clown joe biden .. i high fived her were not the same trump2020 pridefamily pridenews1 	Favor	Against	Neither	Non-Hateful
johnrobertsfox is a disgrace to what is left of respected journalists about 1% the rest are fakenewsmediaclowns and roberts has taken the plunge!! disgusting democratsarecorrupt maga2020	Favor	Neither	Neither	Hateful
people have set off firecrackers and offered prayers in kamala harris' ancestral village in southern india after she and joe biden won the us presidential election 	Neither	Neutral mentions	Neither	Non-Hateful
nypost louisvillemayor chiefgentry1 protesters threaten, taunt, spit on, assault, murder police officers instead of backing your officers, you both kneel to the mob. cowardice, spineless corrupt. votered2020 democratsarecorrupt	Favor	Neither	Neither	Non-Hateful
cnbc ipaidmyfairshare and want to votehimout and end this road to kleptocracy our country needs decency and honesty. bidenharris2020	Against	Favor	Neither	Non-Hateful
seanspicer joebiden his covid test results . . . oh wait! that's your guy. dude, you seriously need to get a life. voteblue2020	Neither	Favor	Neither	Non-Hateful
jim jordan keep your beak shut gym! why didn't you have a big mouth when those kids were getting molested huh gym nothing i figured that. same as the draft dodging racist xenophobe of a man you're always yapping about! bidenharris2020 bidenharris2020 bidenharris2020	Neither	Favor	Neither	Non-Hateful
twoandoneful kamalaharris but she should feel free to metaphorically mop the floor with him (several times, if possible). i'd intended to go with a different metaphor but at the last minute opted to show some restraint. (damn. i hate that.) bidenharris2020	Neither	Favor	Neither	Non-Hateful
magahive johntiegen tuckercarlson 9news youtube the democrats are literally the nazis. if they pack the courts and pass the 25th amendment joe biden and kamala harris will be in the exact same place that hindenburg and hitler were in. the 25th amendment is almost the same exact law hitler got passed in order to take power.	Neither	Against	Neither	Hateful
kiss all this goodbye if the dems get in. they hate us america they can't wait to take every good thing president realdonaldtrump did for us, away. i will crawl over broken glass on my hands knees to vote, in-person for president trump! trump2020 votetrumptosaveamerica 	Favor	Against	Neither	Hateful
the entire liberal apparatus has spent the last few months positioning biden, architect of the racialized carceral state, as the solution to police terror, violence deathdespite his inability unwillingness to offer a solution to police terror violence. lesser evil, tho!!! 	Neither	Mixed	Neither	Non-Hateful
larryelder those ideas look an awful lot like bad humans to me!!! trump2020	Favor	Neither	Neither	Non-Hateful
the most pravda-like thing is that the immediate pushback by biden's many allies in big media and big tech serve as confirmation of the story and how damaging it is to the biden campaign. if it weren't true, they'd just say that, rather than censor its distribution.	Neither	Against	Neither	Non-Hateful
opinion: trump's taxes suggest that when it comes to genocide, he's pay-for-play we must never forget how trump betrayed the kurdish people allowing erdogan to massacre many lives! 	Against	Neither	Neither	Non-Hateful
realdonaldtrump flotus may god bless you and your family and may he protect you both from this horrible virus. we love you and your family for the sacrifices you have made for all of our families trump2020 	Favor	Neither	Neither	Non-Hateful
joebiden yeah, lets! trumppence2020	Favor	Neutral mentions	Neither	Non-Hateful
biden notices his campaign bus. realdonaldtrump joebiden 	Neutral mentions	Neutral mentions	Neither	Non-Hateful
bidenunitesus bidenharris2020 our country needs him right now 	Neither	Favor	Neither	Non-Hateful
it might not survive the night, but honey badger don't care. silent majority no more. hi. my name is perren and i live in portland. i'm voting for realdonaldtrump. trump2020 	Favor	Neither	Neither	Non-Hateful
btymf bison joebiden sorry trump is going to win again	Favor	Neutral mentions	Neither	Non-Hateful
.teamtrump launched a new tv ad featuring former obama supporter nfl player jackbrewerbsi that contrasts president realdonaldtrump's strong record of producing real results for black america to joe biden's history of failed policies that have devastated the black community! 	Favor	Against	Neither	Non-Hateful
it's a big deal that mjhegar is tied in her senate race against john cornyn! in texas! qcdcny campaigned for her during our 9daysofaction in august. to flip texas would be thrilling, esp in favor of a mother, veteran badass like mj. bidenharris2020 flipthesenate 	Neither	Favor	Neither	Non-Hateful
realdonaldtrump repdougcollins secretarysonny good!! no way a red state turns blue for a 47 year in politics accomplishing nothing, expect lining his crooked pockets, like joe biden and his marxist cohort kamala harris.	Neutral mentions	Against	Neither	Non-Hateful
pence is pro life until birth then he's pro every man for himself vpdebate	Against	Neither	Neither	Non-Hateful
this is why i'm voting realdonaldtrump on november 3rd! maga2020 	Favor	Neither	Neither	Non-Hateful
acosta my sources tell me jim acosta is an asshole trump2020	Favor	Neither	Neither	Hateful
elliott broidy, ex-fundraiser for trump, rnc, charged over foreign lobbying - bloomberg 	Neutral mentions	Neither	Neither	Non-Hateful
such a contrast to donald trump. john major was similarly classy when he left champagne for the blairs in downing street. trump is a disgrace to the office. biden2020 	Against	Favor	Neither	Non-Hateful
funder wow. all hes doing is trying to protect this country and our children. and all dummycrates care about is money and profit. maga2020 4moreyears	Favor	Neither	Neither	Hateful
hmmmm. president joe biden vp kamala harris start practicing saying that.. 	Neither	Neutral mentions	Neither	Non-Hateful
barackobama michelleobama colinpowellccny oprah eltonofficial barbrastreisand naacp lgbtq we need you to push people to vote for joebiden kamalaharris senkamalaharris please help them!! bidenharris2020 	Neither	Favor	Neither	Non-Hateful
casey enthusiasm is key.. no one is enthusiastic about joe biden (or kamala harris) .. people would have been more enthusiastic about andrew yang.. 	Neither	Against	Neither	Non-Hateful
lannydavis yipppeeeee!!!! good ridden!!!! trump2020 trump2020landslide maga2020 magaforever	Favor	Neither	Neither	Non-Hateful
at joe biden and kamala victory speech opening civil rac.. via youtube their racedivide bs they r evil if we r in cw they'll have their popcorn in their safe bunkers watching it all going down b4 they crawl back up from under their rocks! tic toc	Neither	Against	Neither	Non-Hateful
scaramucci this proves again no lie is to big or to low that trump and lackeys will not stupe to	Against	Neither	Neither	Non-Hateful
joebiden ty joe biden for being ur president n thank u kamala harris for being our vice president god bless u both love 	Neither	Favor	Neither	Non-Hateful
johnwisniewski realdonaldtrump joebiden joe biden is afraid to even look up from his notes. he's going to hide in his office for 4 years working on his memoirs while kamala harris destroys our country.	Neutral mentions	Against	Neither	Non-Hateful
joebiden best statement to date.. laurie garrett on deadlinewh.. it's a quantum scale differential on just one word, compassion! nothing more profound, than that! bidenharris2020 for the soul of our nation!	Neither	Favor	Neither	Non-Hateful
i'm getting several emails a day asking for money i'm sending thoughts and prayers instead. bidenharris2020 	Neither	Favor	Neither	Non-Hateful
imjdsharp gotjanie realdonaldtrump trump is the joke. do you not know how many times he has publicly lied to you well over 20,000 times. but a month before an election (which he's losing btw),he's giving away free therapeutics it's a lie. it's a campaign ploy. don't believe him. votehimout bidenharris2020	Against	Favor	Neither	Non-Hateful
well trump no more those banana republicans have shown whatshallow people they are they wouldn't know how to run a piss up in a brewery well they better get ready with their excuses why the country is in such a mess good luck joekamala trumpschinabankaccounsecret 	Against	Favor	Neither	Non-Hateful
wife and i just voted here in virginia va7 and we voted blue up and down the ballet! spanbergerva07 markwarner joebiden thedemocrats voteblue2020 	Neither	Favor	Neither	Non-Hateful
i am beginning to believe some at the nytimes are as bad as those at fox news and the once paper of record is now a joke. sad! there are other papers now that are more deserving than the ny times to be the paper of record. voteblue2020 votebidenharristosaveamerica 	Neither	Favor	Neither	Non-Hateful
maga2020 no hydroxychloriquine for trump wonder why 	Against	Neither	Neither	Non-Hateful
joe biden and kamala harris won the 60 minutes interview! and they were asked much harder questions than the whiny baby was asked.	Neither	Favor	Neither	Non-Hateful
3rd poll this week for biden. teamjoe bidenharris2020 gapol 	Neither	Favor	Neither	Non-Hateful
prince philip queen elizabeth ii the british authorities (né) kate rabyn kat princess kamala prince ahhygah berlin rabyn we cant even talk once in office waitwhy cc: president donald j. trump cc: president joe biden cc: vp kamala harris	Neutral mentions	Neutral mentions	Neither	Non-Hateful
amandionair whitehouse gop people have had enough!!! fed up with all of the chaos that is trump and all who support him. we just want some sanity and civility and a good night's sleep.	Against	Neither	Neither	Non-Hateful
large swaths of his real-estate holdings were under financial stress . . . but once mr. trump was in the white house, his family business discovered a lucrative new revenue stream: people who wanted something from the president. 	Neutral mentions	Neither	Neither	Non-Hateful
trumpwarroom drilling love of land. love of oil. love of god. love of cancer. love of donald trump. love of dead fish. love of country. so much love. maga2020 	Favor	Neither	Neither	Non-Hateful
please let this not be what's happening. bidenharris2020 vote 	Neither	Favor	Neither	Non-Hateful
is the most amazing country on the planet earth! let's keep this way! trump2020 realdonaldtrump	Favor	Neither	Neither	Non-Hateful
gov. kristi noem leaves event unharmed after man brandishes weapon via breitbartnews	Neither	Neither	Neither	Non-Hateful
dpwimm realdonaldtrump did you see that line of people biden's line is 4 karens and a brian wearing pink puss hats. trump2020	Favor	Against	Neither	Hateful
kamalaharris joebiden you mean like mass super spreader events systemic racist, you mean like joe biden's 1994 crime bill mmmm i thought you said he was racist a year ago kamala.. the hypocrisy is out of this world.	Neither	Against	Neither	Non-Hateful
iammikejv thehill he's a badass!!! trump2020 suckit winning 	Favor	Neither	Neither	Non-Hateful
charlee94626724 youtube realdutchsinse galtsgultch trumpsarmyfl patriotmclaugh kathicolorado trumparms cnc dude trumpsarmy8 trumpsarmy9 frysauce316 thank you for the shout out! i followed all i wasn't already following. maga trump2020 americafirst patriotsunite	Favor	Neither	Neither	Non-Hateful
the1onlyrichie kayleighmcenany i don't know what happened i got there so early-trump supporter omaha rally 2020 	Neutral mentions	Neither	Neither	Non-Hateful
realdonaldtrump here's trump in the 70's 	Neutral mentions	Neither	Neither	Non-Hateful
realdonaldtrump potus they're not afraid. i don't believe they are all that dumb they are going along with the plot to kill the economy. it's won't work. trump2020 	Favor	Neither	Neither	Non-Hateful
we got some first time presidential voters up in this region!! first time! first week! voting by mail! leggo! bidenharris2020 fullspeedahead 	Neither	Favor	Neither	Non-Hateful
you want a good life for your kids and their kids vote trump	Favor	Neither	Neither	Non-Hateful
wow joe, what an embarrassment. ladygaga performed at joebiden's final rally before election day in front of a gaggle of, what100 fans the littlemonsters were so uninspired by biden kamala they could hardly muster a feeble yay a polite hand-wave. truly laughable. 	Neither	Against	Neither	Non-Hateful
joe biden, the first presidential candidate in more than 25 years to beat an incumbent, told americans that in order to progress they needed to stop treating opponents as the enemy. 	Neither	Neutral mentions	Neither	Non-Hateful
if the american people vote overwhelmingly for joe biden and kamala harris, we can mute trump and his enablers from politics forever. debates2020  presidentialdebate2020	Against	Favor	Neither	Non-Hateful
inthenoosphere nothing new. if you check craigslist in areas where there are going to be trump rallyevents about a week or two ahead you will find ads looking for energetic and enthusiastic 'actors' for $15 an hour. it's all just a big reality show for trump and co. trumpisafraud trumpvirus	Against	Neither	Neither	Non-Hateful
trump on the road to recovering from covid-19 infection . showing once again that hopes and prayers don't work . vote him out . bidenharris2020	Against	Favor	Neither	Non-Hateful
gee i wonder why foxtv and wallace only allowed 2 mins. trying to control realdonaldtrump much when you know, if respectfully allowed to speak, he will crush joebiden trump2020 debates2020	Favor	Against	Neither	Non-Hateful
trhlofficial darishennen fuddlored the defining theme of both kamala harris' joe biden's careers is keeping black men in prison. joe did it thru his crime bill, kamala did it by keeping them behind bars beyond their sentences withholding evidence that exonerated them.	Neither	Against	Neither	Non-Hateful
to all the people of color that vote for a whitesupremacist supporter, don't talk to me and show up to the family cookout that is all. bidenharris2020	Neither	Favor	Neither	Non-Hateful
never seen a president more unfairly smeared by the media in my lifetime than trump. yes he's a bit of a dick, but so were obama, bush clinton. the radical left-wing media never learn. they'll have egg on their faces again when he wins the election by a landslide. trump2020	Mixed	Neither	Neither	Non-Hateful
julius kim me either. i'm no longer ashamed of myself for it. he is ill. bidenharris2020	Neither	Favor	Neither	Non-Hateful
just watched the first and my first ever presidentialdebate2020 and oh my god that was embarrassingly hilarious!! trumpmeltdown bidenharris2020	Against	Favor	Neither	Non-Hateful
crizby777 mckaylarosej the hatred causes them to be blind. united we stand. trump2020	Favor	Neither	Neither	Non-Hateful
y'all joebiden is about to get destroyed at the debate tonight. i guarantee he's gonna stutter through every response and trump is gonna wreck him for it. presidentialdebate2020 presidentialdebate trump2020 joebiden adderall	Favor	Against	Neither	Non-Hateful
cnn god bless the president of the united states and god bless america trump2020 trumpisasuperstar trump2020nowmorethanever trumpforworldpeace 	Favor	Neither	Neither	Non-Hateful
exactly. i am not calling for the election results to be overturned yet but i do want to ensure that biden won fair and square. if it turns out that he did win fair and square, all i can say is congratulations to joe and kamala, and that trump should concede. 	Neutral mentions	Neutral mentions	Neither	Non-Hateful
erictrump nypost joebiden 𝟚𝟘𝟘,𝟘𝟘𝟘 𝔸𝕄𝔼ℝ𝕀ℂ𝔸ℕ𝕊 𝔻𝔼𝔸𝔻 let's not lose sight of the fact that realdonaldtrump completely bungled the united states' coronavirus response. he failed miserably. the gig is up in 41 days. trump2020 trumpisanationaldisgrace trumpisaloser vote 	Against	Neutral mentions	Neither	Hateful
joe biden and kamala harris change their twitter bios: president-elect and vice president elect via yahoonews	Neither	Neutral mentions	Neither	Non-Hateful
yet another example of how veterans are called suckers losers, then treated as such by this president administration. we must vote to save the nation before whatever's left is destroyed. bidenharris2020 	Against	Favor	Neither	Non-Hateful
sandrab11120030 jim jordan this is who supports trump. trump would say.. this is a good person. scary.	Against	Neither	Neither	Non-Hateful
omg this makes my heart skip. makechampthefirstdog dogs presidentsneeddogstoo dogrescue dogsrule bidenharris2020 	Neither	Favor	Neither	Non-Hateful
imvotingfor science, medicine, and humanity. imvotingfor bidenharris2020. 	Neither	Favor	Neither	Non-Hateful
dearauntcrabby no, but the citizens that didn't vote last time might vote this time. bidenharris2020	Neither	Favor	Neither	Non-Hateful
joebiden shut it maga2020 	Favor	Against	Neither	Non-Hateful
timhannan lindseygrahamsc they want her on the bench so badly they are willing to put their health, other peoples health and their elections at risk. why whats up this is nefarious af. the scotus fix is in for declaring a trump election win is that it m how do we stop this	Against	Neither	Neither	Non-Hateful
joebiden joe biden you are correct everyone needs to vote and vote early for biden and kamala harris	Neither	Favor	Neither	Non-Hateful
realjameswoods and if he stops to answer questions, they would be all over him about not keeping his distance. typical msm trump2020	Favor	Neither	Neither	Non-Hateful
joemontana wow joe! i'm glad everyone is ok. love you brother. please vote trump2020 fourmoreyears we can't trust the other.. 	Favor	Against	Neither	Non-Hateful
chicagosmayor i will vote republican in 2020 because our freedoms and lives are at stake. trump2020	Favor	Neither	Neither	Non-Hateful
hey dummy, tell us what you're going to do as president. not how much of a reprobate trump is. oh, by the way what about hunter's russian problem care to answer that or do you want to bash trump more dementiajoe trump2020 	Favor	Against	Neither	Non-Hateful
realdonaldtrump cnn nytimes trump finally got his cover. bidenforpresident 	Neutral mentions	Favor	Neither	Non-Hateful
president-elect joebiden and vice president-elect kamalaharris made their pitches to protect and expand obamacare tuesday, with arguments that appeared to address the scotusblog, via scottfist. flapol 	Neither	Neutral mentions	Neither	Non-Hateful
peggy87933606 kayleighmcenany trump is the hardest working president in history based on all the deals he's accomplished in only 4 years. policies over politics! cheers to another 4 years! trump2020	Favor	Neither	Neither	Non-Hateful
joe biden and kamala harris will get the us to turn and focus on the issue of net zero by 2050, boris johnson says the uk pm says he will look forward to discussing the issue of climate change with the president-elect and vice-president-elect 	Neither	Neutral mentions	Neither	Non-Hateful
if trump had tested negative before the debate, they would say so. clearly, he didn't. so what does that mean trump knowingly went to a debate with coronavirus, shouted and spewed germs all over the room, put dozens of people at risk including biden, and lied about all of it.	Against	Neutral mentions	Neither	Non-Hateful
